Date,Adj Close,Close,High,Low,Open,Volume,SMA_20,SMA_50,Daily_Return
2020-01-02,72.40052032470703,75.0875015258789,75.1500015258789,73.79750061035156,74.05999755859375,135480400,,,
2020-01-03,71.69664001464844,74.35749816894531,75.1449966430664,74.125,74.2874984741211,146322800,,,-0.00972203551987938
2020-01-06,72.2679443359375,74.94999694824219,74.98999786376953,73.1875,73.44750213623047,118387200,,,0.007968245219206693
2020-01-07,71.92803955078125,74.59750366210938,75.2249984741211,74.37000274658203,74.95999908447266,108872000,,,-0.0047030460371630944
2020-01-08,73.08509063720703,75.79750061035156,76.11000061035156,74.29000091552734,74.29000091552734,132079200,,,0.016086288271489613
2020-01-09,74.63748931884766,77.40750122070312,77.60749816894531,76.55000305175781,76.80999755859375,170108400,,,0.021240813976545425
2020-01-10,74.80622100830078,77.5824966430664,78.1675033569336,77.0625,77.6500015258789,140644800,,,0.0022607036734636488
2020-01-13,76.4044189453125,79.23999786376953,79.26750183105469,77.7874984741211,77.91000366210938,121532000,,,0.02136437073337283
2020-01-14,75.37269592285156,78.16999816894531,79.39250183105469,78.0425033569336,79.17500305175781,161954400,,,-0.013503277683875936
2020-01-15,75.0496826171875,77.83499908447266,78.875,77.38749694824219,77.9625015258789,121923600,,,-0.004285519922216707
2020-01-16,75.98979187011719,78.80999755859375,78.92500305175781,78.02249908447266,78.39749908447266,108829200,,,0.012526478905240834
2020-01-17,76.83110809326172,79.68250274658203,79.68499755859375,78.75,79.06749725341797,137816400,,,0.011070996257037002
2020-01-21,76.31041717529297,79.14250183105469,79.75499725341797,79.0,79.29750061035156,110843200,,,-0.006776907061324833
2020-01-22,76.58280944824219,79.42500305175781,79.99749755859375,79.32749938964844,79.6449966430664,101832400,,,0.003569526034268966
2020-01-23,76.95161437988281,79.80750274658203,79.88999938964844,78.9124984741211,79.4800033569336,104472000,,,0.004815859995308536
2020-01-24,76.72982788085938,79.57749938964844,80.8324966430664,79.37999725341797,80.0625,146537600,,,-0.002881976618964499
